"time_idx","location","value","target"
"2020-05-09","34",0,"inc hosp"
"2020-05-09","35",0,"inc hosp"
"2020-05-09","32",0,"inc hosp"
"2020-05-09","36",1,"inc hosp"
"2020-05-09","39",0,"inc hosp"
"2020-05-09","40",0,"inc hosp"
"2020-05-09","41",0,"inc hosp"
"2020-05-09","42",0,"inc hosp"
"2020-05-09","72",0,"inc hosp"
"2020-05-09","44",0,"inc hosp"
"2020-05-09","45",0,"inc hosp"
"2020-05-09","46",0,"inc hosp"
"2020-05-09","47",0,"inc hosp"
"2020-05-09","48",0,"inc hosp"
"2020-05-09","49",0,"inc hosp"
"2020-05-09","51",0,"inc hosp"
"2020-05-09","78",0,"inc hosp"
"2020-05-09","50",0,"inc hosp"
"2020-05-09","53",0,"inc hosp"
"2020-05-09","55",0,"inc hosp"
"2020-05-09","54",0,"inc hosp"
"2020-05-09","56",0,"inc hosp"
"2020-05-16","02",0,"inc hosp"
"2020-05-16","01",0,"inc hosp"
"2020-05-16","05",0,"inc hosp"
"2020-05-16","04",0,"inc hosp"
"2020-05-16","06",0,"inc hosp"
"2020-05-16","08",0,"inc hosp"
"2020-05-16","09",0,"inc hosp"
"2020-05-16","11",0,"inc hosp"
"2020-05-16","10",0,"inc hosp"
"2020-05-16","12",0,"inc hosp"
"2020-05-16","13",0,"inc hosp"
"2020-05-16","15",0,"inc hosp"
"2020-05-16","19",0,"inc hosp"
"2020-05-16","16",0,"inc hosp"
"2020-05-16","17",0,"inc hosp"
"2020-05-16","18",0,"inc hosp"
"2020-05-16","20",0,"inc hosp"
"2020-05-16","21",0,"inc hosp"
"2020-05-16","22",0,"inc hosp"
"2020-05-16","25",0,"inc hosp"
"2020-05-16","24",0,"inc hosp"
"2020-05-16","23",0,"inc hosp"
"2020-05-16","26",0,"inc hosp"
"2020-05-16","27",0,"inc hosp"
"2020-05-16","29",0,"inc hosp"
"2020-05-16","28",0,"inc hosp"
"2020-05-16","30",0,"inc hosp"
"2020-05-16","37",0,"inc hosp"
"2020-05-16","38",0,"inc hosp"
"2020-05-16","31",0,"inc hosp"
"2020-05-16","33",0,"inc hosp"
"2020-05-16","34",0,"inc hosp"
"2020-05-16","35",0,"inc hosp"
"2020-05-16","32",0,"inc hosp"
"2020-05-16","36",1,"inc hosp"
"2020-05-16","39",0,"inc hosp"
"2020-05-16","40",0,"inc hosp"
"2020-05-16","41",0,"inc hosp"
"2020-05-16","42",0,"inc hosp"
"2020-05-16","72",0,"inc hosp"
"2020-05-16","44",0,"inc hosp"
"2020-05-16","45",0,"inc hosp"
"2020-05-16","46",0,"inc hosp"
"2020-05-16","47",0,"inc hosp"
"2020-05-16","48",0,"inc hosp"
"2020-05-16","49",0,"inc hosp"
"2020-05-16","51",0,"inc hosp"
"2020-05-16","78",0,"inc hosp"
"2020-05-16","50",0,"inc hosp"
"2020-05-16","53",0,"inc hosp"
"2020-05-16","55",0,"inc hosp"
"2020-05-16","54",0,"inc hosp"
"2020-05-16","56",0,"inc hosp"
"2020-05-23","02",0,"inc hosp"
"2020-05-23","01",0,"inc hosp"
"2020-05-23","05",0,"inc hosp"
"2020-05-23","04",0,"inc hosp"
"2020-05-23","06",0,"inc hosp"
"2020-05-23","08",0,"inc hosp"
"2020-05-23","09",0,"inc hosp"
"2020-05-23","11",0,"inc hosp"
"2020-05-23","10",0,"inc hosp"
"2020-05-23","12",0,"inc hosp"
"2020-05-23","13",0,"inc hosp"
"2020-05-23","15",0,"inc hosp"
"2020-05-23","19",0,"inc hosp"
"2020-05-23","16",0,"inc hosp"
